epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6974,1.22292,4.02888,1.57648,0.52218,0.1439,0.08048,0.04571,1.20459,4.21449,1.75153,0.000531507,0.000531507,0.000531507
2,171.721,1.34456,2.80885,1.7591,0.25265,0.40064,0.25464,0.1238,1.73436,2.77561,2.32756,0.00106565,0.00106565,0.00106565
3,256.669,1.45677,2.40413,1.8338,0.38366,0.2568,0.2367,0.109,1.66456,31.6943,2.22192,0.00157778,0.00157778,0.00157778
4,342.685,1.45515,2.32328,1.88002,0.20006,0.72494,0.32852,0.14004,1.67317,11.0612,2.33602,0.00156798,0.00156798,0.00156798
5,428.996,1.38384,2.11312,1.86816,0.27394,0.51833,0.3014,0.14554,1.68874,6.98381,2.47394,0.00153497,0.00153497,0.00153497
6,515.357,1.41575,2.05465,1.83064,0.27669,0.44229,0.26069,0.11884,1.95373,4.59269,2.54235,0.00150197,0.00150197,0.00150197
7,601.524,1.33832,1.85397,1.77016,0.35848,0.5873,0.37666,0.18703,1.71434,3.36752,2.24115,0.00146896,0.00146896,0.00146896
8,687.604,1.29034,1.73786,1.73398,0.47958,0.44733,0.42044,0.25782,1.32361,2.56993,1.8118,0.00143595,0.00143595,0.00143595
9,774.21,1.24216,1.67894,1.69677,0.32237,0.62409,0.34177,0.19353,1.39778,2.44541,1.82691,0.00140295,0.00140295,0.00140295
10,860.495,1.23223,1.64944,1.66991,0.3441,0.64323,0.47508,0.24148,1.40699,3.31548,1.97265,0.00136994,0.00136994,0.00136994
11,946.556,1.20356,1.58083,1.66131,0.58706,0.57762,0.60046,0.35087,1.21833,2.25189,1.69989,0.00133693,0.00133693,0.00133693
12,1033.51,1.14804,1.53638,1.58382,0.54968,0.58818,0.59033,0.34974,1.33153,1.72002,1.84547,0.00130393,0.00130393,0.00130393
13,1121.39,1.104,1.52278,1.57826,0.67293,0.60224,0.69506,0.42115,1.27638,1.47399,1.81509,0.00127092,0.00127092,0.00127092
14,1209.81,1.05501,1.40596,1.50342,0.65287,0.58869,0.62362,0.37288,1.21647,1.69324,1.77499,0.00123791,0.00123791,0.00123791
15,1298.38,1.07989,1.41992,1.52393,0.63238,0.74666,0.69932,0.45733,1.12123,1.40393,1.56887,0.00120491,0.00120491,0.00120491
16,1388.02,1.01767,1.36677,1.46357,0.57678,0.64779,0.59481,0.36471,1.21127,1.55182,1.69858,0.0011719,0.0011719,0.0011719
17,1477.76,1.00081,1.34985,1.47988,0.68156,0.6061,0.68533,0.43795,1.25809,1.7324,1.69611,0.00113889,0.00113889,0.00113889
18,1567.78,1.00173,1.32561,1.43114,0.62882,0.66961,0.70484,0.42662,1.28545,1.384,1.82698,0.00110589,0.00110589,0.00110589
19,1658.09,0.97821,1.29109,1.44255,0.63761,0.68548,0.76888,0.55347,1.03844,1.39855,1.54689,0.00107288,0.00107288,0.00107288
20,1748.22,0.96121,1.26316,1.44024,0.6948,0.70299,0.78782,0.57642,1.01549,1.25716,1.5266,0.00103987,0.00103987,0.00103987
21,1839.74,0.91694,1.2362,1.36749,0.71304,0.769,0.78944,0.52536,1.11769,1.21755,1.61696,0.00100687,0.00100687,0.00100687
22,1930.89,0.91267,1.18616,1.38402,0.68998,0.84249,0.85476,0.58218,1.08861,1.10615,1.5865,0.000973861,0.000973861,0.000973861
23,2021.89,0.88983,1.16501,1.34433,0.73194,0.73198,0.80817,0.58831,1.03922,1.24295,1.52042,0.000940855,0.000940855,0.000940855
